,shot_number,x_coord,y_coord,time,weapon,x_normalized,y_normalized,time_normalized,delta_x,delta_y,delta_time,V,H
0,1,797,567,0.0,M416,0,0,0.0,0.0,0.0,0.001,0.0,0.0
2,3,4,92,0.2058278867102396,M416,-793,-475,0.2058278867102396,-1.0,17.0,0.2058278867102396,82.59327864514424,-4.8584281555967195
4,5,1039,9,0.4528213507625272,M416,242,-558,0.4528213507625272,1034.0,-74.0,0.24699346405228761,-299.60306959513093,4186.345594072505
5,6,810,557,1.0291394335511983,M416,13,-10,1.0291394335511983,-229.0,548.0,0.5763180827886711,950.8637961667862,-397.350017011303
6,7,804,561,1.070305010893246,M416,7,-6,1.070305010893246,-6.0,4.0,0.04116557734204762,97.1685631119351,-145.75284466790265
7,8,798,572,1.1114705882352942,M416,1,5,1.1114705882352942,-6.0,11.0,0.04116557734204829,267.2135485578172,-145.7528446679003
14,15,1,141,1.3584640522875815,M416,-796,-426,1.3584640522875815,-4.0,137.0,0.04116557734204784,3328.0232865837593,-97.16856311193457
16,17,1014,1,1.5642919389978214,M416,217,-566,1.5642919389978214,-11.0,-3.0,0.08233115468409569,-36.43821116697547,-133.60677427891005
17,18,2,150,1.770119825708061,M416,-795,-417,1.770119825708061,-1012.0,149.0,0.20582788671023966,723.9057951839111,-4916.729293463879
19,20,1110,15,1.8112854030501089,M416,313,-552,1.8112854030501089,43.0,14.0,0.04116557734204784,340.08997089177103,1044.5620534532968
49,50,196,18,2.1406100217864923,M416,-601,-549,2.1406100217864923,29.0,16.0,0.04116557734204784,388.6742524477383,704.4720825615257
53,54,210,13,2.2641067538126363,M416,-587,-554,2.2641067538126363,10.0,6.0,0.08233115468409613,72.87642233395054,121.46070388991757
60,61,1261,54,2.346437908496732,M416,464,-513,2.346437908496732,114.0,50.0,0.04116557734204784,1214.6070388991823,2769.3040486901355
72,73,211,34,2.428769063180828,M416,-586,-533,2.428769063180828,59.0,33.0,0.04116557734204829,801.6406456734517,1433.2363059010195
80,81,215,40,2.511100217864924,M416,-582,-527,2.511100217864924,-2.0,32.0,0.04116557734204829,777.3485048954683,-48.58428155596677
88,89,135,4,2.675762527233116,M416,-662,-563,2.675762527233116,-39.0,0.0,0.08233115468409657,0.0,-473.69674517067597
91,92,239,20,2.7169281045751634,M416,-558,-547,2.7169281045751634,21.0,17.0,0.0411655773420474,412.9663932257264,510.13495633766206
96,97,239,30,2.799259259259259,M416,-558,-537,2.799259259259259,11.0,-24.0,0.0411655773420474,-583.0113786716138,267.213548557823
101,102,230,44,2.8815904139433552,M416,-567,-523,2.8815904139433552,227.0,20.0,0.04116557734204829,485.84281555966766,5514.315956602228
103,104,233,28,2.922755991285403,M416,-564,-539,2.922755991285403,-4.0,-11.0,0.04116557734204784,-267.2135485578201,-97.16856311193457
105,106,6,36,3.087418300653595,M416,-791,-531,3.087418300653595,5.0,17.0,0.12349673202614397,137.6554644085735,40.48690129663926
113,114,1277,171,3.2520806100217863,M416,480,-396,3.2520806100217863,0.0,79.0,0.04116557734204784,1919.079121460708,0.0
117,118,16,53,3.2932461873638346,M416,-781,-514,3.2932461873638346,-194.0,27.0,0.04116557734204829,655.8878010055513,-4712.6753109287765
120,121,17,72,3.3344117647058824,M416,-780,-495,3.3344117647058824,-166.0,57.0,0.04116557734204784,1384.6520243450677,-4032.495369145285
121,122,144,6,3.3755773420479303,M416,-653,-561,3.3755773420479303,127.0,-66.0,0.04116557734204784,-1603.2812913469206,3085.101878803923
122,123,156,15,3.416742919389978,M416,-641,-552,3.416742919389978,12.0,9.0,0.04116557734204784,218.6292670018528,291.50568933580377
123,124,2,129,3.457908496732026,M416,-795,-438,3.457908496732026,-154.0,114.0,0.04116557734204784,2769.3040486901355,-3740.9896798094815
124,125,20,101,3.4990740740740742,M416,-777,-466,3.4990740740740742,18.0,-28.0,0.04116557734204829,-680.1799417835347,437.2585340037009
125,126,10,104,3.58140522875817,M416,-787,-463,3.58140522875817,-10.0,3.0,0.08233115468409569,36.43821116697547,-121.46070388991822
126,127,20,114,3.6637363834422656,M416,-777,-453,3.6637363834422656,10.0,10.0,0.08233115468409569,121.46070388991822,121.46070388991822
127,128,16,109,3.704901960784314,M416,-781,-458,3.704901960784314,-4.0,-5.0,0.04116557734204829,-121.46070388991691,-97.16856311193354
128,129,11,130,3.7872331154684096,M416,-786,-437,3.7872331154684096,-5.0,21.0,0.08233115468409569,255.06747816882827,-60.73035194495911
131,132,806,548,4.0342265795206975,M416,9,-19,4.0342265795206975,804.0,413.0,0.1646623093681927,2508.163535326791,4882.720296374673
134,135,824,574,4.445882352941177,M416,27,7,4.445882352941177,691.0,562.0,0.24699346405228795,2275.3638528711267,2797.644879597773
135,136,903,567,4.487047930283224,M416,106,0,4.487047930283224,79.0,-7.0,0.0411655773420474,-170.04498544588733,1919.0791214607286
136,137,912,567,4.5282135076252725,M416,115,0,4.5282135076252725,9.0,0.0,0.04116557734204829,0.0,218.62926700185045
137,138,889,555,4.56937908496732,M416,92,-12,4.56937908496732,-23.0,-12.0,0.0411655773420474,-291.5056893358069,-558.7192378936298
139,140,888,541,4.610544662309368,M416,91,-26,4.610544662309368,11.0,-2.0,0.04116557734204829,-48.58428155596677,267.2135485578172
141,142,899,553,4.6517102396514165,M416,102,-14,4.6517102396514165,26.0,23.0,0.04116557734204829,558.7192378936178,631.5956602275679
143,144,944,572,4.734041394335512,M416,147,5,4.734041394335512,68.0,47.0,0.08233115468409569,570.8653082826156,825.9327864514439
145,146,878,553,4.77520697167756,M416,81,-14,4.77520697167756,-77.0,31.0,0.0411655773420474,753.0563641175011,-1870.4948399047607
146,147,923,573,4.939869281045752,M416,126,6,4.939869281045752,45.0,20.0,0.16466230936819226,121.46070388991757,273.2865837523145
147,148,1007,573,5.269193899782135,M416,210,6,5.269193899782135,84.0,0.0,0.32932461873638275,0.0,255.06747816882827
148,149,1125,546,5.763180827886711,M416,328,-21,5.763180827886711,118.0,-27.0,0.4939869281045768,-54.657316750462904,238.8727176501712
